systemNanoTime (in ns);utcMilliTime (in ms);latitude (in deg);longitude (in deg);altitude (in m);speed (in m/s);bearing (in deg);azimuth (in deg);pitch (in deg);roll (in deg);gyrx (in rad/s);gyry (in rad/s);gyrz (in rad/s);accx (in m/s2);accy (in m/s2);accz (in m/s2)
150273374492621;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-0.09571290761232376;3.3613176345825195;9.425627708435059
150273377676059;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-0.11964113265275955;3.3589248657226562;9.439984321594238
150273411644913;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-0.19621145725250244;3.3828530311584473;9.51894760131836
150273413568455;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-0.1986042857170105;3.4163525104522705;9.521340370178223
150273424630434;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-0.20099709928035736;3.442673683166504;9.523733139038086
150273480529184;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-0.19381862878799438;3.4163525104522705;9.536893844604492
150273575101267;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-0.16390834748744965;3.3672995567321777;9.59073257446289
150273577648402;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-0.15912270545959473;3.318246841430664;9.544072151184082
150273579958819;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-0.2105683982372284;3.3206396102905273;9.565608024597168
150273581235590;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-0.21415762603282928;3.329014539718628;9.59791088104248
150273582328715;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-0.1986042857170105;3.3170504570007324;9.541679382324219
150273583203246;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-0.1782652884721756;3.3553354740142822;9.441181182861328
150273631037309;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-0.14835500717163086;3.373281717300415;9.429216384887695
150273633048038;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-0.06580262631177902;3.3338000774383545;9.50459098815918
150273634125017;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.021379653364419937;-0.0423775278031826;0.02076880633831024;-0.06580262631177902;3.3338000774383545;9.50459098815918
150273657861632;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.021379653364419937;-0.0423775278031826;0.02076880633831024;0.007178467698395252;3.2931220531463623;9.478269577026367
150273659727257;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.021379653364419937;-0.0423775278031826;0.02076880633831024;0.010767702013254166;3.352942705154419;9.414859771728516
150273764033298;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.021379653364419937;-0.0423775278031826;0.02076880633831024;0.010767702013254166;3.3960134983062744;9.352646827697754
150273766484392;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.021379653364419937;-0.0423775278031826;0.02076880633831024;0.009571290574967861;3.40797758102417;9.347860336303711
150273767714600;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.021379653364419937;-0.0423775278031826;0.02076880633831024;-0.038285162299871445;3.459423303604126;9.50339412689209
150273769085954;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.021379653364419937;-0.0423775278031826;0.02076880633831024;-0.05503492057323456;3.5503506660461426;9.62782096862793
150273770259288;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.021379653364419937;-0.0423775278031826;0.02076880633831024;-0.02273181453347206;3.6185460090637207;9.707980155944824
150273775471475;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.021379653364419937;-0.0423775278031826;0.02076880633831024;-0.02273181453347206;3.6894333362579346;9.668498992919922
150273830121684;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.021379653364419937;-0.0423775278031826;0.02076880633831024;-0.058624155819416046;3.75643253326416;9.626625061035156
150273832025746;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.021379653364419937;-0.0423775278031826;0.02076880633831024;-0.10648060590028763;3.750450372695923;9.5895357131958
150273833510069;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.14370182156562805;0.009544488042593002;0.059557609260082245;-0.10648060590028763;3.750450372695923;9.5895357131958
150273908979340;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.14370182156562805;0.009544488042593002;0.059557609260082245;-0.14117653667926788;3.695415496826172;9.578767776489258
150273911133611;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.14370182156562805;0.009544488042593002;0.059557609260082245;-0.11605189740657806;3.644867181777954;9.490233421325684
150273912565590;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.14370182156562805;0.009544488042593002;0.059557609260082245;-0.08853443711996078;3.6221351623535156;9.353842735290527
