LOG: northing, easting, depth, azimith, elevation, range, Local depth
29, -65, 2, 8, -9,7,13
26, -65, 4, 9, -7,7,13
42, -63, -2, 356, -11,7,13
48, -68, -1, 358, -10,8,13
50, -68, -2, 358, -10,8,13
28, -80, 39, 11, 16,8,13
30, -75, 35, 9, 14,8,13
29, -76, 23, 10, 6,8,13
30, -73, 9, 9, -3,8,13
31, -72, 11, 9, -1,7,13
30, -73, 15, 9, 0,7,13
30, -74, 14, 9, 0,8,13
31, -73, 14, 9, 0,8,13
33, -72, 15, 9, 0,7,13
33, -72, 14, 8, 0,8,13
33, -73, 13, 8, 0,8,13
33, -74, 13, 8, 0,8,13
35, -74, 15, 8, 0,8,13
31, -76, 14, 9, 0,8,13
35, -75, 14, 9, 0,8,13
36, -74, 15, 8, 0,8,13
37, -74, 14, 8, 0,8,13
35, -76, 13, 8, 0,8,13
32, -78, 14, 8, 0,8,13
38, -76, 14, 8, 0,8,13
31, -80, 13, 8, 0,8,13
30, -81, 13, 8, 0,8,13
40, -77, 14, 8, 0,8,13
32, -81, 21, 8, 4,8,13
32, -82, 17, 8, 1,8,13
33, -82, 4, 8, -6,8,13
35, -81, 9, 9, -3,8,13
35, -80, 8, 8, -3,8,13
31, -81, 0, 9, -9,8,13
31, -80, -6, 9, -13,8,13
31, -81, 0, 10, -9,8,13
33, -79, -1, 9, -10,8,13
