LOG: northing, easting, depth, azimith, elevation, range, Local depth
64, -318, -32, 14, -9,32,13
65, -316, -42, 14, -10,32,13
60, -317, -38, 15, -10,32,13
72, -312, -40, 14, -10,32,13
66, -310, -45, 13, -11,32,13
59, -308, -40, 15, -10,31,13
58, -305, -31, 15, -9,31,13
41, -300, -43, 18, -11,30,13
42, -295, -42, 18, -11,30,13
41, -295, -28, 17, -9,30,13
35, -295, -25, 19, -8,30,13
27, -285, -31, 19, -9,29,13
39, -274, -24, 19, -8,27,13
35, -262, -28, 19, -10,26,13
30, -252, -21, 20, -8,25,13
30, -242, -22, 20, -9,24,13
23, -235, -23, 20, -9,23,13
14, -235, -25, 24, -10,23,13
4, -233, -23, 26, -10,23,13
0, -231, -24, 26, -10,23,13
-15, -227, -23, 31, -10,23,13
-26, -220, -33, 34, -13,22,13
-43, -215, -28, 38, -12,22,13
-46, -212, -29, 39, -13,22,13
-56, -208, -29, 41, -12,22,13
-62, -199, -29, 44, -14,21,13
-70, -191, -34, 47, -14,20,13
-78, -185, -30, 49, -14,20,13
-84, -176, -24, 51, -13,19,13
-81, -170, -29, 53, -14,19,13
-100, -157, -24, 58, -14,19,13
-109, -146, -23, 62, -14,18,13
-110, -144, -21, 63, -12,18,13
-103, -137, -22, 65, -14,17,13
-100, -129, -21, 66, -13,16,13
-100, -119, -25, 67, -13,16,13
-102, -107, -19, 70, -12,15,13
-96, -98, -16, 72, -15,14,13
-90, -88, -15, 73, -15,13,13
-89, -79, -7, 76, -11,12,13
-79, -74, -3, 75, -11,11,13
-67, -67, -1, 73, -11,9,13
-58, -62, 0, 71, -11,8,13
-47, -56, 0, 68, -12,7,13
-36, -49, 2, 63, -12,6,13
-23, -43, 2, 56, -13,5,13
-13, -37, 3, 45, -16,4,13
0, -33, 3, 27, -17,3,13
4, -32, 5, 19, -15,3,13
4, -33, 5, 19, -15,3,13
4, -33, 5, 18, -15,3,13
