LOG: northing, easting, depth, azimith, elevation, range, Local depth
0.3, -1.1, -1.9, 354, 56.2,2.3,0
0.4, -1.1, -1.9, 354.1, 56.2,2.3,0
0.3, -1.2, -1.9, 353.8, 54.7,2.3,0
0.4, -1.1, -1.9, 356.9, 55.1,2.3,0
0.3, -1.2, -1.9, 352.1, 55,2.3,0
0.1, -1.3, -1.8, 346.9, 53.5,2.3,0
0.2, -1.2, -1.9, 348, 54.6,2.3,0
0.2, -1.3, -1.9, 345.5, 53.8,2.3,0
0.4, -1.6, -1.7, 349.2, 44.7,2.4,0
0, -1.5, -1.6, 336.5, 45.2,2.3,0
0.1, -2, -1.7, 339, 39.6,2.6,0
0.1, -2.3, -1.9, 339.6, 39,3.1,0
0.2, -2.7, -2.3, 341, 40.1,3.6,0
0.2, -3.4, -2, 337.4, 30,4,0
0.2, -3.7, -2.4, 340.9, 31.5,4.5,0
1, -4.2, -1.9, 348.1, 23.4,4.8,0
1.1, -4.5, -2.2, 348.7, 24.4,5.2,0
2.1, -4.8, -1.7, 357.3, 17,5.6,0
1.9, -5.5, -1.4, 355.4, 12.6,6,0
2.5, -6, -1.6, 357.3, 12.2,6.7,0
3.4, -6, -1.5, 3, 11.6,7.1,0
3.6, -6.4, -1.8, 3.5, 12.7,7.6,0
3.7, -6.9, -2, 1.7, 13.3,8.1,0
3.7, -7.8, -1.9, 359.1, 11.7,8.9,0
4, -8.5, -1.8, 359.8, 9.4,9.6,0
3.9, -9.3, -1.5, 358.7, 7,10.3,0
3.9, -10.2, -1.7, 358.1, 7.5,11.1,0
4.2, -10.8, -1.5, 356.5, 6.4,11.7,0
5.3, -10.7, -1, 357.2, 3.3,12,0
4.5, -11.4, -1, 356, 3.3,12.3,0
5.6, -11.6, -0.9, 356.8, 2.5,12.9,0
4.8, -12.5, -1, 358.1, 3.1,13.4,0
4.8, -13.2, -0.8, 358, 2.1,14.1,0
6, -13.6, -0.5, 358.8, 0.8,14.9,0
7.8, -13.2, 0, 4.3, -1.3,15.4,0
5.9, -14.7, -0.1, 359, -1,15.8,0
6.7, -14.7, -0.5, 0.4, 0.6,16.2,0
8, -14.5, 0, 0.2, -1.2,16.6,0
8, -15.1, -0.3, 0.8, -0.5,17.1,0
8.2, -15.6, -0.4, 1.1, -0.3,17.7,0
8.1, -16.2, -0.4, 1.3, 0,18.1,0
8.8, -16.5, -0.7, 1.3, 0.5,18.7,0
9.1, -17.3, 0, 0.8, -1.5,19.6,0
9, -17.7, -0.3, 1.8, -0.4,19.9,0
9.6, -17.1, 0.9, 1.8, -4.3,19.7,0
9.6, -16.5, 2.2, 1.4, -8,19.3,0
10.1, -15.9, 2.8, 2.7, -10,19.1,0
6.3, -13, -1.1, 359.6, 3.2,14.5,0
6.7, -12.8, -0.8, 0.2, 1.9,14.5,0
6.1, -13.1, -0.8, 0.4, 2.1,14.5,0
6.7, -12.6, -1, 1.3, 3,14.4,0
6.4, -12.6, -0.9, 1, 2.1,14.2,0
